Rank,Feature
1,GLYCL
2,PUNP6
3,PPK2
4,CDAPPA160
5,GMPS2
6,PYK
7,THRA
8,SO4t2pp
9,DASYN160
10,THRD
11,3PEPTabcpp
12,ALAALAabcpp
13,GK1
14,ASNS1
15,PAPSR
16,CYSS
17,FE3Ri
18,FE3abcpp
19,FBP
20,THRt2pp
21,FTHFD
22,EX_gthrd_e
23,ICHORS_copy1
24,ADK1
25,CYTD
26,IPDDI
27,PPS
28,EX_colipap_e
29,COLIPAKpp
30,COLIPAPabctex
31,P5CR
32,FACOAE181
33,URIK2
34,AACPS5
35,G3PD5
36,UM3PL
37,COBALT2abcpp
38,EX_thr__L_e
39,THRtex
40,CA2t3pp
41,ALAt4pp
42,CAt6pp
43,CBPS
44,FTHFLi
45,EX_pro__L_e
46,PROt2rpp
47,PROtex
48,CBMKr
49,HXAND
50,EX_LalaDgluMdap_e
51,3PEPTtex
52,EX_so4_e
53,SO4tex
54,PGP161abcpp
55,PGPP161pp
56,RNTR4c2
57,ACACT1r
58,ACACT2r
59,ACOAD1f
60,ACOAD2f
61,ECOAH1
62,ECOAH2
63,PUNP5
64,EX_gly_e
65,FE2t3pp
66,EX_hxa_e
67,FACOAE60
68,HXAtex
69,ADSK
70,BPNT
71,SADT2
72,SULR
73,EX_xtsn_e
74,XTSNt2rpp
75,XTSNtex
76,EX_h_e
77,EX_h2s_e
78,EX_5dglcn_e
79,5DGLCNR
80,5DGLCNt2rpp
81,5DGLCNtex
82,PYNP2r
83,AGM3Pt2pp
84,ICDHyr
85,FBA3
86,PFK_3
87,ARGAGMt7pp
88,XPPT
89,SUCCt3pp
90,EX_fe3_e
91,PLIPA2G161pp
92,CMPN
93,CSND
94,EX_ptrc_e
95,PTRCORNt7pp
96,PTRCtex
97,DADA
98,PGSA161
99,ATPS4rpp
100,ENO
101,PGM
102,AGM3PA
103,UDCPPtppi
104,PFL
105,EX_succ_e
106,SUCCtex
107,EX_ins_e
108,EX_orn_e
109,ACACT8r
110,CTECOAI8
111,ECOAH8
112,TRPAS2
